Energy_eV,Experimental_Abs,Total_Model,Vib_0-0,Vib_0-1,Vib_0-2,Vib_0-3,Vib_0-4
3.047207136362519275e+00,4.091040096545952437e-02,2.106803003775698139e-14,9.947020667719884207e-57,8.680439472410056619e-43,3.711068843324830741e-31,1.037459872502600488e-21,2.106802900029710738e-14
3.041302854900421515e+00,4.173755716612632255e-02,3.653478931542126742e-14,3.286113682459899769e-56,2.440911794456370455e-42,8.882432067333710436e-31,2.113626859074266435e-21,3.653478720179439933e-14
3.035495716034271929e+00,4.264733925964004496e-02,6.244332711236904304e-14,1.058677331202128989e-55,6.711278892205629921e-42,2.084293813965536044e-30,4.232829722705360086e-21,6.244332287953930980e-14
3.029636687922988347e+00,4.424056821244379961e-02,1.066507379964226845e-13,3.427701399117879636e-55,1.851833000622806920e-41,4.901334305213883377e-30,8.482944809409967302e-21,1.066507295134778746e-13
3.023800234100663342e+00,4.416755217048802529e-02,1.807871728867159671e-13,1.098747950414428728e-54,5.061994125953101100e-41,1.142511411885143325e-29,1.686245735125301026e-20,1.807871560242586085e-13
3.018059679696246889e+00,4.619096653446719963e-02,3.021966875516814924e-13,3.436886299400626241e-54,1.353786166115894996e-40,2.612474044155534381e-29,3.296680628405474899e-20,3.021966545848751812e-13
3.012267703145876663e+00,4.620421118096260799e-02,5.047578589012176005e-13,1.080292464238083417e-53,3.633106527481446479e-40,5.985956993729900187e-29,6.449315421013682424e-20,5.047577944080633754e-13
3.006570812016584604e+00,4.710361958036889812e-02,8.316459075162570635e-13,3.314910030839829559e-53,9.543054164141649459e-40,1.345932711315502918e-28,1.241324802094834107e-19,8.316457833837766941e-13
3.000822806253327535e+00,4.812736792321869322e-02,1.369138524897429722e-12,1.022065969479763222e-52,2.515171503193051067e-39,3.032342497344683078e-28,2.390653310989528858e-19,1.369138285832098520e-12
2.995096736793797287e+00,4.877290732368184251e-02,2.237900878371886340e-12,3.121265303973949558e-52,6.569803618153138798e-39,6.774819277637004824e-28,4.568486100037011292e-19,2.237900421523275299e-12
2.989464548325658555e+00,5.019093793675223625e-02,3.609995745663854339e-12,9.311168135537365733e-52,1.680628034074490103e-38,1.486155608872922805e-27,8.593850113652821220e-19,3.609994886278841141e-12
2.983781702680591064e+00,5.022970478080239498e-02,5.818350623387682915e-12,2.790657467403603152e-51,4.313395653935436811e-38,3.266321608067002236e-27,1.617450341931008651e-18,5.818349005937337617e-12
2.978191949274666239e+00,5.184935657112743623e-02,9.257674139909120759e-12,8.173431593486806950e-51,1.084590706801601179e-37,7.051082905146174310e-27,2.997641262816141671e-18,9.257671142267848778e-12
2.972551839865755774e+00,5.278897268724771358e-02,1.471682406740956272e-11,2.404915292756964119e-50,2.735981024253146234e-37,1.524953141012068048e-26,5.558215179696582933e-18,1.471681850919436841e-11
2.967004043739382091e+00,5.301425690441038258e-02,2.310301988063531875e-11,6.917692311093264413e-50,6.764263409226527236e-37,3.240496084357238123e-26,1.015171575169560653e-17,2.310300972891953835e-11
2.961406190294229912e+00,5.383997525755006980e-02,3.623403467804985765e-11,1.998890820288571034e-49,1.677648694213663050e-36,6.898367165083527643e-26,1.854940910364645093e-17,3.623401612864067847e-11
2.955899880810488600e+00,5.488285501267610444e-02,5.613555490971726774e-11,5.648724797408865799e-49,4.079435308998680436e-36,1.443393032418710083e-25,3.339713076138474742e-17,5.613552151258637612e-11
2.950343810226272012e+00,5.533742540366070467e-02,8.688322798459027507e-11,1.603420395570003992e-48,9.950500806174103602e-36,3.025373484803764424e-25,6.015262345116702475e-17,8.688316783196651230e-11
2.944878523760894762e+00,5.693739570896478447e-02,1.328726339589894557e-10,4.452892490356815236e-48,2.380475115752847870e-35,6.234809359053875051e-25,1.067888051907729187e-16,1.328725271701836422e-10
2.939363769971080398e+00,5.712875776103792241e-02,2.029996486617681945e-10,1.242059133725899917e-47,5.712172433515446627e-35,1.287063668399897522e-24,1.896458218824840694e-16,2.029994590159449933e-10
