Energy_eV,Averaged_Absorbance
1.723275334926899882e+00,3.878772468850593680e-01
1.721457130164371296e+00,3.823145752941916053e-01
1.719666606570790401e+00,3.772402802861338222e-01
1.717856004876494369e+00,3.724351867698646457e-01
1.716072960779429168e+00,3.673819305493160048e-01
1.714269914562999375e+00,3.616518684975307263e-01
1.712494303194354250e+00,3.568148116386440361e-01
1.710722366315324594e+00,3.517061611334812987e-01
1.708930540242557861e+00,3.463526225515415891e-01
1.707165966820403336e+00,3.419999584807466020e-01
1.705405033695502670e+00,3.373801786863907526e-01
1.703624323358887693e+00,3.328122244700665866e-01
1.701870685277446116e+00,3.276184243249197214e-01
1.700120653723812714e+00,3.236458336412583736e-01
1.698350956007231627e+00,3.197708023177606163e-01
1.696608151928523434e+00,3.152075473859651811e-01
1.694868921024575537e+00,3.115144978304515977e-01
1.693110134083399387e+00,3.077032316758556152e-01
1.691378063917722718e+00,3.034411570742566178e-01
1.689649533983757612e+00,2.994409667439295042e-01
1.687901557225307769e+00,2.962399701701945443e-01
1.686180122112076685e+00,2.928176915877893638e-01
1.684462194691227266e+00,2.897626301806618399e-01
1.682747764252466416e+00,2.860629633936563887e-01
1.681014031044533397e+00,2.830876099862081330e-01
1.679306608884073793e+00,2.799657153115471253e-01
1.677602651694513947e+00,2.768609807024056679e-01
1.675902148939045766e+00,2.732292470679474894e-01
1.674182485890962191e+00,2.696723214089614129e-01
1.672488906273182252e+00,2.672979284702738934e-01
1.670798749595774568e+00,2.641607629470317797e-01
1.669112005491917072e+00,2.618484533991655150e-01
1.667428663636608244e+00,2.591685259010718667e-01
1.665726337282716907e+00,2.562192124299036977e-01
1.664049814136371763e+00,2.541443199658420804e-01
1.662376662376662484e+00,2.516733891039409365e-01
1.660706871844322308e+00,2.488367109583635717e-01
1.659040432420861189e+00,2.469662746715466373e-01
1.657377334028362625e+00,2.445503209378144527e-01
1.655717566629279602e+00,2.421418176542502465e-01
1.654039056664176721e+00,2.402121209551984216e-01
1.652385965379848942e+00,2.386514626607332268e-01
